time,open,high,low,close
1782858360,30530.5,30532,30528.75,30530.25
1782858420,30530.5,30535,30530.5,30532.5
1782858480,30532.25,30532.25,30529.5,30530.25
1782858540,30530,30534.25,30530,30532.75
1782858600,30531.25,30531.5,30525,30527.75
1782858660,30530,30530.5,30521.75,30524.5
1782858720,30523.75,30526.25,30517.5,30524
1782858780,30525.25,30525.75,30514.75,30522
1782858840,30522,30522.75,30512,30515.25
1782858900,30514.5,30515.5,30506.5,30510.75
1782858960,30512.25,30515,30511.5,30515
1782859020,30513,30515.25,30509.5,30513
1782859080,30512.75,30515.25,30510.75,30514
1782859140,30515.25,30519.75,30514.25,30517.25
1782859200,30516.25,30519,30515,30518
1782859260,30519.75,30520.5,30516,30517.5
1782859320,30516,30517.75,30515.75,30516
1782859380,30515.75,30519,30514.25,30519
1782859440,30517.25,30517.25,30514.5,30517
1782859500,30515.25,30516.25,30505.5,30507
1782859560,30508.75,30512.5,30506.5,30511.25
1782859620,30511.75,30511.75,30504.25,30507.25
1782859680,30508,30510,30504.5,30507.5
1782859740,30507.25,30513,30506.25,30512
1782859800,30512.75,30512.75,30501.75,30505.5
1782859860,30506.25,30506.5,30501.25,30502.5
1782859920,30503.75,30505,30500.5,30504
1782859980,30501.25,30503.75,30497.5,30503.5
1782860040,30501.25,30504.5,30500.75,30502.25
1782860100,30501.5,30503.25,30501,30503.25
1782860160,30503,30510,30502.75,30510
1782860220,30510.25,30512.5,30508.25,30510
1782860280,30509.75,30509.75,30503,30505.5
1782860340,30505.25,30510.25,30504,30510
1782860400,30511.5,30519.5,30509.75,30511.5
1782860460,30512.75,30516.25,30511.25,30512
1782860520,30512.75,30525.25,30511.5,30523.25
1782860580,30522.5,30524,30518.5,30518.5
1782860640,30519.25,30520.5,30514.75,30518.75
1782860700,30519.5,30522.5,30515.25,30521.25
1782860760,30521,30525.25,30519.25,30519.25
1782860820,30518,30528.25,30516,30527
1782860880,30528.25,30540.25,30527.25,30532.5
1782860940,30530.75,30537.75,30528.5,30535.25
1782861000,30534.75,30535,30530.75,30530.75
1782861060,30531,30531.25,30527.25,30527.75
1782861120,30528.75,30529.75,30526.5,30526.5
1782861180,30526.5,30528.25,30518.75,30519.5
1782861240,30520.75,30524.75,30520.5,30522.5
1782861300,30523.5,30523.75,30517.75,30518.25
1782861360,30518.25,30528,30517.5,30526.75
1782861420,30527.25,30529.5,30525.5,30526.75
1782861480,30525.5,30532.25,30523.5,30531.25
1782861540,30531.5,30534.5,30529.5,30529.5
1782861600,30529,30530,30525.25,30528.75
1782861660,30529.75,30535,30529,30529.5
1782861720,30528.75,30533.25,30528.25,30531
1782861780,30531.25,30534.25,30530.25,30534
1782861840,30533.75,30535.25,30531.25,30531.25
1782861900,30531.25,30536,30531,30536
1782861960,30534.75,30534.75,30533,30533.75
1782862020,30535.5,30540,30535.25,30535.25
1782862080,30535.75,30536,30532.25,30534
1782862140,30533.5,30533.5,30523.25,30526
1782862200,30525.25,30531.75,30522,30530.5
1782862260,30528.75,30529.75,30526.25,30526.5
1782862320,30528.5,30530.75,30528.25,30530.5
1782862380,30529.25,30530.5,30528,30530.5
1782862440,30530.25,30543.5,30530.25,30541.25
1782862500,30541.75,30542.25,30535.75,30538
1782862560,30539,30540,30535.75,30536.75
1782862620,30535.25,30537.75,30533,30537
1782862680,30533.75,30533.75,30525.5,30528.5
1782862740,30528.5,30536.75,30528.5,30536.75
1782862800,30536.75,30539.5,30531.75,30533
1782862860,30532.75,30532.75,30526,30529.25
1782862920,30530.25,30531.25,30528,30531
1782862980,30531,30538.5,30530.5,30538.5
1782863040,30536.75,30538.25,30527.75,30528.5
1782863100,30529.5,30543.25,30529.5,30536.25
1782863160,30533.5,30537.25,30526.75,30537.25
1782863220,30534.5,30537.25,30532.5,30533.25
1782863280,30531,30531.25,30525.75,30525.75
1782863340,30526,30535.75,30523.5,30534.75
1782863400,30533,30536.75,30519.5,30535.5
1782863460,30534.75,30538,30530.25,30532.5
1782863520,30530.5,30530.5,30520.75,30520.75
1782863580,30522.5,30525.5,30519,30523.5
1782863640,30523,30523,30519.5,30520.5
1782863700,30521.5,30524.5,30520.25,30521
1782863760,30523,30526.25,30521.5,30523.25
1782863820,30523.25,30524.25,30516.25,30520.25
1782863880,30520.5,30534.25,30520.5,30529.75
1782863940,30532,30538.5,30531.5,30534
1782864000,30535.25,30553.75,30531,30545.75
1782864060,30543,30549.75,30533,30538.5
1782864120,30539,30548.25,30527.5,30527.5
1782864180,30527.5,30540,30522.25,30538
1782864240,30536.75,30537.25,30529.75,30536.75
1782864300,30534.75,30537.25,30514.75,30525.25
1782864360,30526,30540,30517.5,30519
1782864420,30520.75,30525.75,30517.75,30525.25
1782864480,30525.75,30534.75,30522.5,30532.5
1782864540,30533,30537.5,30526.5,30530.25
1782864600,30531.75,30545,30524.25,30544.5
1782864660,30541.25,30542,30526.75,30529
1782864720,30527.25,30536,30526,30531.25
1782864780,30528.5,30540,30526.25,30536
1782864840,30536.5,30537,30524.5,30528.25
1782864900,30531,30536.5,30518.5,30521.75
1782864960,30521,30533.5,30520.25,30532.75
1782865020,30532.25,30540,30528.75,30528.75
1782865080,30528.5,30528.75,30523,30527
1782865140,30527.75,30530,30519,30519
1782865200,30520.25,30530.75,30519.5,30529
1782865260,30530.25,30532,30516.25,30517.5
1782865320,30517.5,30518.25,30511,30514
1782865380,30514.5,30517.5,30508.75,30512.75
1782865440,30512.25,30521.75,30511.25,30515.75
1782865500,30513.75,30516.25,30507,30514
1782865560,30514.75,30516.25,30511,30512.5
